source,target
"Hello, how are you today?","Hola, ¿cómo estás hoy?"
"I would like to order a coffee, please.","Me gustaría pedir un café, por favor."
"The weather is beautiful today.","El clima está hermoso hoy."
"Can you help me find the train station?","¿Puedes ayudarme a encontrar la estación de tren?"
"I'm learning Spanish to travel to South America.","Estoy aprendiendo español para viajar a Sudamérica."
"The restaurant serves delicious traditional food.","El restaurante sirve comida tradicional deliciosa."
"What time does the museum open tomorrow?","¿A qué hora abre el museo mañana?"
"I need to buy tickets for the concert tonight.","Necesito comprar entradas para el concierto de esta noche."
"The city has many beautiful parks and gardens.","La ciudad tiene muchos parques y jardines hermosos."
"Thank you for your help, I really appreciate it.","Gracias por tu ayuda, realmente la aprecio."
"Where is the nearest pharmacy?","¿Dónde está la farmacia más cercana?"
"I would like to make a reservation for two people.","Me gustaría hacer una reserva para dos personas."
"The meeting is scheduled for 3 PM tomorrow.","La reunión está programada para las 3 PM mañana."
"Could you please speak more slowly?","¿Podrías hablar más despacio, por favor?"
"I'm sorry, I don't understand.","Lo siento, no entiendo."
"How much does this cost?","¿Cuánto cuesta esto?"
"The train arrives at platform number five.","El tren llega al andén número cinco."
"I need to exchange some money.","Necesito cambiar algo de dinero."
"What's your favorite type of music?","¿Cuál es tu tipo de música favorito?"
"The hotel room has a beautiful view of the ocean.","La habitación del hotel tiene una hermosa vista del océano."
